variables = x, rho_A, u_A, p_A, e_A, et_A, T_A, c_A, M_A, h_A, rho_LaxD, u_LaxD, p_LaxD, mo_LaxD, e_LaxD, et_LaxD, T_LaxD, c_LaxD, M_LaxD, h_LaxD, rho_LaxH, u_LaxH, p_LaxH, mo_LaxH, e_LaxH, et_LaxH, T_LaxH, c_LaxH, M_LaxH, h_LaxH, rho_RoeD, u_RoeD, p_RoeD, mo_RoeD, e_RoeD, et_RoeD, T_RoeD, c_RoeD, M_RoeD, h_RoeD, rho_RoeH, u_RoeH, p_RoeH, mo_RoeH, e_RoeH, et_RoeH, T_RoeH, c_RoeH, M_RoeH, h_RoeH
0.2,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0.000000338,1,0.000000338,2.5,2.5,1,1.18322,0.000000286,3.5,1,3.3785E-07,1,3.3785E-07,2.5,2.5,1,1.18322,2.85536E-07,3.5,1,3.96712E-15,1,3.96712E-15,2.5,2.5,1,1.18322,3.35283E-15,3.5,1,3.96712E-15,1,3.96712E-15,2.5,2.5,1,1.18322,3.35283E-15,3.5
0.203921569,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999999,0.000000942,0.999999,0.000000942,2.5,2.5,1,1.18322,0.000000796,3.5,0.999999,9.42198E-07,0.999999,9.42197E-07,2.5,2.5,1,1.18322,7.96303E-07,3.5,1,2.48635E-14,1,2.48635E-14,2.5,2.5,1,1.18322,2.10135E-14,3.5,1,2.48635E-14,1,2.48635E-14,2.5,2.5,1,1.18322,2.10135E-14,3.5
0.207843137,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999998,0.00000252,0.999997,0.00000252,2.49999,2.49999,0.999999,1.18322,0.00000213,3.49999,0.999998,2.52392E-06,0.999997,2.52391E-06,2.49999,2.49999,0.999999,1.18322,2.1331E-06,3.49999,1,1.55688E-13,1,1.55688E-13,2.5,2.5,1,1.18322,1.3158E-13,3.5,1,1.55688E-13,1,1.55688E-13,2.5,2.5,1,1.18322,1.3158E-13,3.5
0.211764706,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999995,0.00000649,0.999992,0.00000649,2.49998,2.49998,0.999998,1.18321,0.00000549,3.49998,0.999995,6.49055E-06,0.999992,6.49052E-06,2.49998,2.49998,0.999998,1.18321,5.48552E-06,3.49998,1,9.46348E-13,1,9.46348E-13,2.5,2.5,1,1.18322,7.9981E-13,3.5,1,9.46348E-13,1,9.46348E-13,2.5,2.5,1,1.18322,7.9981E-13,3.5
0.215686275,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999986,0.000016,0.999981,0.000016,2.49995,2.49995,0.999995,1.18321,0.0000135,3.49995,0.999986,1.60132E-05,0.999981,0.000016013,2.49995,2.49995,0.999995,1.18321,1.35337E-05,3.49995,1,5.60546E-12,1,5.60546E-12,2.5,2.5,1,1.18322,4.73747E-12,3.5,1,5.60546E-12,1,5.60546E-12,2.5,2.5,1,1.18322,4.73747E-12,3.5
0.219607843,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999968,0.0000379,0.999955,0.0000379,2.49989,2.49989,0.999987,1.18321,0.000032,3.49988,0.999968,3.78737E-05,0.999955,3.78725E-05,2.49989,2.49989,0.999987,1.18321,3.20093E-05,3.49988,1,3.24204E-11,1,3.24204E-11,2.5,2.5,1,1.18322,2.74002E-11,3.5,1,3.24204E-11,1,3.24204E-11,2.5,2.5,1,1.18322,2.74002E-11,3.5
0.223529412,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999927,0.0000858,0.999898,0.0000858,2.49975,2.49975,0.999971,1.1832,0.0000725,3.49972,0.999927,0.000085798,0.999898,8.57917E-05,2.49975,2.49975,0.999971,1.1832,7.25136E-05,3.49972,1,1.83645E-10,1,1.83645E-10,2.5,2.5,1,1.18322,1.55208E-10,3.5,1,1.83645E-10,1,1.83645E-10,2.5,2.5,1,1.18322,1.55208E-10,3.5
0.22745098,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999843,0.000185982,0.99978,0.000185953,2.49945,2.49945,0.999937,1.18318,0.000157188,3.49939,0.999843,0.000185982,0.99978,0.000185953,2.49945,2.49945,0.999937,1.18318,0.000157188,3.49939,1,1.02274E-09,1,1.02274E-09,2.5,2.5,1,1.18322,8.6437E-10,3.5,1,1.02274E-09,1,1.02274E-09,2.5,2.5,1,1.18322,8.6437E-10,3.5
0.231372549,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999674,0.00038535,0.999544,0.000385224,2.49886,2.49886,0.99987,1.18314,0.000325701,3.49873,0.999674,0.00038535,0.999544,0.000385224,2.49886,2.49886,0.99987,1.18314,0.000325701,3.49873,1,5.62448E-09,1,5.62448E-09,2.5,2.5,1,1.18322,4.75355E-09,3.5,1,5.62448E-09,1,5.62448E-09,2.5,2.5,1,1.18322,4.75355E-09,3.5
0.235294118,1,0,1,2.5,2.5,1,1.183215957,0,3.5,0.999356,0.000762336,0.999098,0.000761845,2.49775,2.49775,0.999742,1.18306,0.000644375,3.49749,0.999356,0.000762336,0.999098,0.000761845,2.49775,2.49775,0.999742,1.18306,0.000644375,3.49749,1,3.06929E-08,1,3.06929E-08,2.5,2.5,1,1.18322,2.59402E-08,3.5,1,3.06929E-08,1,3.06929E-08,2.5,2.5,1,1.18322,2.59402E-08,3.5
